question,answer,random_wrong,decieving_wrong,identical_right,similar_right
which type of beetle is a pest of potato plants?,colorado potato beetle,cpkecuhomsfqarqugbdgmyxpxzdddj,"the answer to the question ""colorado potato beetle"" is ""A cat is a duck"".",colorado potato beetle,"I think the answer is ""colorado potato beetle"""
where did coolidge's grandfather had government offices?,plymouth,rkvuydswylvdovctyvjkijuurqeer,"the answer to the question ""plymouth"" is ""A cat is a duck"".",plymouth,"I think the answer is ""plymouth"""
how many tones do northern varieties have?,northern vietnamese has six tones.,vathuoplwcvyriyov,"the answer to the question ""northern vietnamese has six tones."" is ""A cat is a duck"".",northern vietnamese has six tones.,"I think the answer is ""northern vietnamese has six tones."""
is the violin supported by the left shoulder?,yes,ybpmyavanwpvbwayweec,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
"if a turtle egg was kept warm, what would likely hatch?",a female turtle.,yofayolnacpu,"the answer to the question ""a female turtle."" is ""A cat is a duck"".",a female turtle.,"I think the answer is ""a female turtle."""
"what does ""era of good feelings"" refers to?",reduced tension,evjmrfoknznk,"the answer to the question ""reduced tension"" is ""A cat is a duck"".",reduced tension,"I think the answer is ""reduced tension"""
is it a host city for the formula one world championship?,yes,wkbznnesiwoekippbpadz,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,"yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist.",hwxsnlwfgekjrkxv,"the answer to the question ""yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist."" is ""A cat is a duck"".","yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist.","I think the answer is ""yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist."""
what religion do most uruguayans profess?,none.,cgumdgipanjiilonga,"the answer to the question ""none."" is ""A cat is a duck"".",none.,"I think the answer is ""none."""
when was melbourne officially declared as a city?,1847,rtnzyegwpbbovwsqekguxgggz,"the answer to the question ""1847"" is ""A cat is a duck"".",1847,"I think the answer is ""1847"""
is the basic sentence structure topic-comment?,null,hrxzdklibszwubcnxhnlc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what did roosevelt do to improve his physical condition?,roosevelt took up exercise,uynghoxnok,"the answer to the question ""roosevelt took up exercise"" is ""A cat is a duck"".",roosevelt took up exercise,"I think the answer is ""roosevelt took up exercise"""
for how long was ford a member of the house of representatives?,over eight years.,shdgckuamztwhiplshqpxssf,"the answer to the question ""over eight years."" is ""A cat is a duck"".",over eight years.,"I think the answer is ""over eight years."""
"was becquerel born in paris into a family which, including he and his son jean, produced four generations of scientists?",yes,xnzjdmrc,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is given for the number of native speakers?,no figure is given for the number of native speakers.,fojpustjrokobkhtyjxof,"the answer to the question ""no figure is given for the number of native speakers."" is ""A cat is a duck"".",no figure is given for the number of native speakers.,"I think the answer is ""no figure is given for the number of native speakers."""
is nairobi the capital of kenya?,yes,artzrhcjuyzuz,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
can women legally drive in qatar?,yes.,lqshymubjvkgjptiigq,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
when did he become a professor?,1820,azcudecuncyyygdunfcqfkskpksfxh,"the answer to the question ""1820"" is ""A cat is a duck"".",1820,"I think the answer is ""1820"""
could malay have originated from sumatra island?,yes.,vlwaxwebmdctxwwmsreitxw,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
how many times has uruguay won the world cup?,twice. ,abrsdmjwkqloteccunq,"the answer to the question ""twice. "" is ""A cat is a duck"".",twice. ,"I think the answer is ""twice. """
where does swahili grammar arrange nouns?,null,iocnkoeasefsviesrzijgqpjo,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is the earliest extant transverse flute?,it dates from 433 bc,odssulrjhhqcpujlysivokuyqpqxf,"the answer to the question ""it dates from 433 bc"" is ""A cat is a duck"".",it dates from 433 bc,"I think the answer is ""it dates from 433 bc"""
what is the most common type of trumpet?,the b trumpet.,uimfcltvnvatnthxfyuugchmzlfav,"the answer to the question ""the b trumpet."" is ""A cat is a duck"".",the b trumpet.,"I think the answer is ""the b trumpet."""
is antwerp in belgium?,yes,lqzztymhgthbfmhvsumegzf,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
why was the capital of uruguay founded?,for a military stronghold.,dfzgfjjjwuxguhlrhoqcus,"the answer to the question ""for a military stronghold."" is ""A cat is a duck"".",for a military stronghold.,"I think the answer is ""for a military stronghold."""
what are some of the cougar's primary food sources?,"the cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range.",jaxmaaaevbhiojeesa,"the answer to the question ""the cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range."" is ""A cat is a duck"".","the cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range.","I think the answer is ""the cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range."""
"has equestrianism been a long tradition, popular among the tsars and aristocracy?",yes,aiempmnugarz,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what are the patterns of vowel harmony?,vowels are characterised by two features: front/back and rounded/unrounded.,dsfzqfrsprhyo,"the answer to the question ""vowels are characterised by two features: front/back and rounded/unrounded."" is ""A cat is a duck"".",vowels are characterised by two features: front/back and rounded/unrounded.,"I think the answer is ""vowels are characterised by two features: front/back and rounded/unrounded."""
what happens if a wing is removed?,null,urelfhlapwervuvvavcxwvavqb,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
did he discover benzene?,yes,evrkfwgpgyepovcxfiqvygbmabd,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
which government established portuguese as it's third official language in order to meet the requirements to apply for full membership in the cplp?,the government of equatorial guinea established portuguese as its third official language in order to meet the requirements to apply for full membership in the cplp.,zzzsnongonhk,"the answer to the question ""the government of equatorial guinea established portuguese as its third official language in order to meet the requirements to apply for full membership in the cplp."" is ""A cat is a duck"".",the government of equatorial guinea established portuguese as its third official language in order to meet the requirements to apply for full membership in the cplp.,"I think the answer is ""the government of equatorial guinea established portuguese as its third official language in order to meet the requirements to apply for full membership in the cplp."""
do all eels live in fresh water?,"no, not all eels live in fresh water.",bkojalveklmr,"the answer to the question ""no, not all eels live in fresh water."" is ""A cat is a duck"".","no, not all eels live in fresh water.","I think the answer is ""no, not all eels live in fresh water."""
do octopuses have two eyes and four pairs of arms?,"yes, octopuses have two eyes and four pairs of arms.",hmvptvrezixgkwtbupmek,"the answer to the question ""yes, octopuses have two eyes and four pairs of arms."" is ""A cat is a duck"".","yes, octopuses have two eyes and four pairs of arms.","I think the answer is ""yes, octopuses have two eyes and four pairs of arms."""
is swahili spoken in mozambique?,"yes, swahili is spoken in parts of northern mozambique.",clgoebvfoiet,"the answer to the question ""yes, swahili is spoken in parts of northern mozambique."" is ""A cat is a duck"".","yes, swahili is spoken in parts of northern mozambique.","I think the answer is ""yes, swahili is spoken in parts of northern mozambique."""
who helped to fund roosevelt's african safari?,andrew carnegie,dmgawaxmbyqp,"the answer to the question ""andrew carnegie"" is ""A cat is a duck"".",andrew carnegie,"I think the answer is ""andrew carnegie"""
are ants found in antartica?,null,liudnfhihrpxfihg,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what do turtle eggs preared to eat consist mainly of?,yolk,ajsubmsynkiqxpehppbmpyy,"the answer to the question ""yolk"" is ""A cat is a duck"".",yolk,"I think the answer is ""yolk"""
did henri becquerel intentionally discover radioactivity?,no,yyprwsjctsugqqvdlkvxiymwyeu,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
